part_id,part_type,manufacturer,production_date,faulty,engine_id,engine_type,OEM_type
1-202-2021-45,T01,202,2009-03-15,0,K1BE1-101-1011-1,K1BE1,OEM1
2-202-2022-161,T02,202,2009-04-20,0,K1BE1-101-1011-1,K1BE1,OEM1
3-201-2011-14,T03,201,2009-05-10,1,K1BE1-101-1011-1,K1BE1,OEM1
4-203-2031-20,T04,203,2009-06-01,0,K1BE1-101-1011-1,K1BE1,OEM1
1-202-2021-46,T01,202,2009-07-12,1,K1BE1-101-1011-2,K1BE1,OEM1
2-201-2011-239,T02,201,2009-08-03,0,K1BE1-101-1011-2,K1BE1,OEM1
3-202-2023-16,T03,202,2009-09-18,0,K1BE1-101-1011-2,K1BE1,OEM1
4-202-2023-51,T04,202,2009-10-25,0,K1BE1-101-1011-2,K1BE1,OEM1
1-201-2011-30,T01,201,2010-01-05,0,K1DI1-101-1041-1,K1DI1,OEM1
2-202-2022-453,T02,202,2010-02-14,0,K1DI1-101-1041-1,K1DI1,OEM1
5-202-2021-10,T05,202,2010-03-22,1,K1DI1-101-1041-1,K1DI1,OEM1
6-204-2044-88,T06,204,2010-04-11,0,K1DI1-101-1041-1,K1DI1,OEM1
1-202-2021-72,T01,202,2010-05-30,0,K1DI1-101-1041-2,K1DI1,OEM1
2-202-2022-500,T02,202,2010-06-18,0,K1DI1-101-1041-2,K1DI1,OEM1
5-203-2031-25,T05,203,2010-07-09,0,K1DI1-101-1041-2,K1DI1,OEM1
6-202-2021-33,T06,202,2010-08-15,1,K1DI1-101-1041-2,K1DI1,OEM1
1-204-2044-118,T01,204,2011-01-10,0,K1BE2-102-1021-1,K1BE2,OEM2
2-202-2022-105,T02,202,2011-02-20,0,K1BE2-102-1021-1,K1BE2,OEM2
7-201-2011-55,T07,201,2011-03-15,1,K1BE2-102-1021-1,K1BE2,OEM2
8-202-2021-77,T08,202,2011-04-22,0,K1BE2-102-1021-1,K1BE2,OEM2
1-202-2021-99,T01,202,2011-05-18,0,K1BE2-102-1021-2,K1BE2,OEM2
2-201-2011-310,T02,201,2011-06-25,0,K1BE2-102-1021-2,K1BE2,OEM2
7-202-2023-44,T07,202,2011-07-30,0,K1BE2-102-1021-2,K1BE2,OEM2
8-204-2044-12,T08,204,2011-08-14,1,K1BE2-102-1021-2,K1BE2,OEM2
1-201-2011-150,T01,201,2012-01-08,0,K1DI2-102-1042-1,K1DI2,OEM2
2-202-2022-620,T02,202,2012-02-17,1,K1DI2-102-1042-1,K1DI2,OEM2
9-202-2021-60,T09,202,2012-03-25,0,K1DI2-102-1042-1,K1DI2,OEM2
10-203-2031-15,T10,203,2012-04-30,0,K1DI2-102-1042-1,K1DI2,OEM2
1-202-2021-200,T01,202,2012-05-12,1,K1DI2-102-1042-2,K1DI2,OEM2
2-202-2022-700,T02,202,2012-06-20,0,K1DI2-102-1042-2,K1DI2,OEM2
9-201-2011-40,T09,201,2012-07-15,0,K1DI2-102-1042-2,K1DI2,OEM2
10-202-2021-88,T10,202,2012-08-28,0,K1DI2-102-1042-2,K1DI2,OEM2
