part_type,part_id,manufacturer,production_date,faulty,engine_id,engine_type,OEM_type
T01,1-201-2011-45,201,2008-11-07,1,K1BE1-101-1011-1,K1BE1,1
T02,2-201-2011-161,201,2008-11-07,0,K1BE1-101-1011-1,K1BE1,1
T03,3-202-2023-14,202,2008-11-07,0,K1BE1-101-1011-1,K1BE1,1
T04,4-202-2023-20,202,2008-11-07,0,K1BE1-101-1011-1,K1BE1,1
T01,1-201-2011-37,201,2008-11-07,0,K1BE1-101-1011-10,K1BE1,1
T03,3-201-2011-6,201,2008-11-07,0,K1BE1-101-1011-10,K1BE1,1
T04,4-202-2023-15,202,2008-11-07,0,K1BE1-101-1011-10,K1BE1,1
T03,3-202-2023-230,202,2008-11-07,0,K1BE1-101-1011-100,K1BE1,1
T04,4-204-2043-134,204,2008-11-07,1,K1BE1-101-1011-100,K1BE1,1
T03,3-202-2023-234,202,2008-11-07,0,K1BE1-101-1011-101,K1BE1,1
T04,4-204-2043-135,204,2008-11-07,0,K1BE1-101-1011-101,K1BE1,1
T03,3-202-2023-240,202,2008-11-07,0,K1BE1-101-1011-102,K1BE1,1
T04,4-204-2043-136,204,2008-11-07,0,K1BE1-101-1011-102,K1BE1,1
T01,1-201-2011-438,201,2008-11-07,0,K1BE1-101-1011-103,K1BE1,1
T03,3-202-2023-247,202,2008-11-07,0,K1BE1-101-1011-103,K1BE1,1
T04,4-204-2043-140,204,2008-11-07,0,K1BE1-101-1011-103,K1BE1,1
T01,1-201-2011-136,201,2008-11-07,0,K1BE1-101-1011-104,K1BE1,1
T03,3-202-2023-256,202,2008-11-07,0,K1BE1-101-1011-104,K1BE1,1
T04,4-204-2043-141,204,2008-11-07,0,K1BE1-101-1011-104,K1BE1,1
T01,1-201-2011-130,201,2008-11-07,0,K1BE1-101-1011-105,K1BE1,1
T03,3-202-2023-266,202,2008-11-07,0,K1BE1-101-1011-105,K1BE1,1
T04,4-204-2043-142,204,2008-11-07,0,K1BE1-101-1011-105,K1BE1,1
T03,3-202-2023-269,202,2008-11-07,0,K1BE1-101-1011-106,K1BE1,1
T04,4-204-2043-146,204,2008-11-07,0,K1BE1-101-1011-106,K1BE1,1
T01,1-201-2011-137,201,2008-11-07,0,K1BE1-101-1011-107,K1BE1,1
T03,3-202-2023-275,202,2008-11-07,1,K1BE1-101-1011-107,K1BE1,1
T04,4-204-2043-154,204,2008-11-07,1,K1BE1-101-1011-107,K1BE1,1
T01,1-201-2011-59,201,2008-11-07,0,K1BE1-101-1011-108,K1BE1,1
T03,3-202-2023-276,202,2008-11-07,0,K1BE1-101-1011-108,K1BE1,1
T04,4-204-2043-156,204,2008-11-07,0,K1BE1-101-1011-108,K1BE1,1
T03,3-202-2023-287,202,2008-11-07,0,K1BE1-101-1011-109,K1BE1,1
T04,4-204-2043-159,204,2008-11-07,0,K1BE1-101-1011-109,K1BE1,1
T01,1-201-2011-363,201,2008-11-07,1,K1BE1-101-1011-11,K1BE1,1
T03,3-202-2022-6,202,2008-11-07,0,K1BE1-101-1011-11,K1BE1,1
T04,4-202-2023-16,202,2008-11-07,0,K1BE1-101-1011-11,K1BE1,1
T01,1-201-2011-88,201,2008-11-07,1,K1BE1-101-1011-110,K1BE1,1
T03,3-202-2023-289,202,2008-11-07,0,K1BE1-101-1011-110,K1BE1,1
T04,4-204-2043-161,204,2008-11-07,0,K1BE1-101-1011-110,K1BE1,1
T01,1-201-2011-28,201,2008-11-07,0,K1BE1-101-1011-111,K1BE1,1
T03,3-202-2023-291,202,2008-11-07,0,K1BE1-101-1011-111,K1BE1,1
T04,4-204-2043-164,204,2008-11-07,1,K1BE1-101-1011-111,K1BE1,1
T03,3-201-2011-1,201,2008-11-07,0,K1BE1-101-1011-112,K1BE1,1
T04,4-204-2043-176,204,2008-11-07,0,K1BE1-101-1011-112,K1BE1,1
T03,3-201-2011-5,201,2008-11-07,0,K1BE1-101-1011-113,K1BE1,1
T04,4-204-2043-177,204,2008-11-07,0,K1BE1-101-1011-113,K1BE1,1
